"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12224","Calculation Testing | Scenario=S16 | Mode=Credit Card | Slab=5001-10000 | Amount=6000","testCases","Thu Sep 25 15:41:15 IST 2025","failed","Thu Sep 25 15:41:28 IST 2025","TestCalculations","Calculation_test","",""
"","18367","Calculation Testing | Scenario=S14 | Mode=UPI INTENT | Slab=5001-10000 | Amount=6000","testCases","Thu Sep 25 15:02:53 IST 2025","passed","Thu Sep 25 15:03:11 IST 2025","TestCalculations","Calculation_test","",""
"","18504","Calculation Testing | Scenario=S6 | Mode=Debit Card | Slab=1001-5000 | Amount=1200","testCases","Thu Sep 25 12:13:10 IST 2025","passed","Thu Sep 25 12:13:29 IST 2025","TestCalculations","Calculation_test","",""
"","17537","Calculation Testing | Scenario=S7 | Mode=BHIM UPI QR | Slab=1-1000 | Amount=100","testCases","Thu Sep 25 12:38:00 IST 2025","passed","Thu Sep 25 12:38:18 IST 2025","TestCalculations","Calculation_test","",""
"","38793","Calculation Testing | Scenario=S7 | Mode=UPI | Slab=1001-5000 | Amount=1200","testCases","Thu Sep 25 12:35:28 IST 2025","passed","Thu Sep 25 12:36:07 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","16328","Calculation Testing | Scenario=S5 | Mode=UPI INTENT | Slab=5001-10000 | Amount=6000","testCases","Thu Sep 25 11:30:15 IST 2025","passed","Thu Sep 25 11:30:32 IST 2025","TestCalculations","Calculation_test","",""
"","18295","Calculation Testing | Scenario=S13 | Mode=NEFT/RTGS | Slab=1001-5000 | Amount=1200","testCases","Thu Sep 25 14:38:17 IST 2025","passed","Thu Sep 25 14:38:36 IST 2025","TestCalculations","Calculation_test","",""
"","18411","Calculation Testing | Scenario=S11 | Mode=UPI | Slab=5001-10000 | Amount=6000","testCases","Thu Sep 25 13:39:43 IST 2025","passed","Thu Sep 25 13:40:01 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","18689","Calculation Testing | Scenario=S1 | Mode=UPI INTENT | Slab=1001-5000 | Amount=1200","testCases","Thu Sep 25 10:34:06 IST 2025","passed","Thu Sep 25 10:34:24 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","18514","Calculation Testing | Scenario=S1 | Mode=UPI | Slab=5001-10000 | Amount=6000","testCases","Thu Sep 25 10:27:38 IST 2025","passed","Thu Sep 25 10:27:57 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","18892","Calculation Testing | Scenario=S3 | Mode=RuPay Card | Slab=1-1000 | Amount=100","testCases","Thu Sep 25 10:58:27 IST 2025","passed","Thu Sep 25 10:58:46 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","18276","Calculation Testing | Scenario=S4 | Mode=RuPay Credit Card | Slab=5001-10000 | Amount=6000","testCases","Thu Sep 25 11:15:06 IST 2025","passed","Thu Sep 25 11:15:24 IST 2025","TestCalculations","Calculation_test","",""
"","19613","Calculation Testing | Scenario=S16 | Mode=RuPay Credit Card | Slab=1001-5000 | Amount=1200","testCases","Thu Sep 25 15:42:19 IST 2025","passed","Thu Sep 25 15:42:38 IST 2025","TestCalculations","Calculation_test","",""
"","18802","Calculation Testing | Scenario=S6 | Mode=RuPay Card | Slab=1001-5000 | Amount=1200","testCases","Thu Sep 25 12:22:56 IST 2025","passed","Thu Sep 25 12:23:15 IST 2025","TestCalculations","Calculation_test","",""
